id,split
sgfr-000446,train
sgfr-005451,train
sgfr-003678,train
sgfr-005420,train
sgfr-005253,train
sgfr-003941,train
sgfr-005039,train
sgfr-003100,train
sgfr-001207,train
sgfr-002180,train
sgfr-003158,train
sgfr-005273,train
sgfr-005045,train
sgfr-001916,train
sgfr-001869,train
sgfr-000304,train
sgfr-004653,train
sgfr-001071,train
sgfr-001879,train
sgfr-004740,train
sgfr-005309,train
sgfr-002017,train
sgfr-000672,train
sgfr-005282,train
sgfr-004467,train
sgfr-005132,train
sgfr-002696,train
sgfr-004548,train
sgfr-000355,train
sgfr-000546,train
sgfr-004074,train
sgfr-003855,train
sgfr-005345,train
sgfr-000512,train
sgfr-002937,train
sgfr-001209,train
sgfr-002005,train
sgfr-003660,train
sgfr-002793,train
sgfr-001260,train
sgfr-002252,train
sgfr-005323,train
sgfr-004174,train
sgfr-003514,train
sgfr-005283,train
sgfr-000257,train
sgfr-000607,train
sgfr-000516,train
sgfr-002242,train
sgfr-002451,train
sgfr-003768,train
sgfr-002342,train
sgfr-000746,train
sgfr-000729,train
sgfr-002394,train
sgfr-003425,train
sgfr-005238,train
sgfr-001104,train
sgfr-001619,train
sgfr-003767,train
sgfr-000580,train
sgfr-000417,train
sgfr-003413,train
sgfr-000777,train
sgfr-005341,train
sgfr-003788,train
sgfr-001478,train
sgfr-003773,train
sgfr-003373,train
sgfr-003893,train
sgfr-004477,train
sgfr-004850,train
sgfr-001789,train
sgfr-004170,train
sgfr-002454,train
sgfr-005244,train
sgfr-000572,train
sgfr-001711,train
sgfr-000362,train
sgfr-000020,train
sgfr-004858,train
sgfr-003341,train
sgfr-003563,train
sgfr-003638,train
sgfr-000757,train
sgfr-001915,train
sgfr-000884,train
sgfr-000491,train
sgfr-000198,train
sgfr-004023,train
sgfr-000404,train
sgfr-000358,train
sgfr-002840,train
sgfr-005298,train
sgfr-000765,train
sgfr-000571,train
sgfr-001409,train
sgfr-004062,train
sgfr-000861,train
sgfr-001644,train
sgfr-004189,train
sgfr-001716,train
sgfr-003432,train
sgfr-003173,train
sgfr-003838,train
sgfr-002196,train
sgfr-002190,train
sgfr-000939,train
sgfr-002791,train
sgfr-004444,train
sgfr-001426,train
sgfr-002010,train
sgfr-000042,train
sgfr-001118,train
sgfr-003374,train
sgfr-003810,train
sgfr-002669,train
sgfr-001965,train
sgfr-002826,train
sgfr-003518,train
sgfr-003521,train
sgfr-000336,train
sgfr-001108,train
sgfr-003453,train
sgfr-001182,train
sgfr-003631,train
sgfr-002023,train
sgfr-001707,train
sgfr-005474,train
sgfr-002978,train
sgfr-001798,train
sgfr-004941,train
sgfr-000550,train
sgfr-001120,train
sgfr-003452,train
sgfr-005403,train
sgfr-004989,train
sgfr-002747,train
sgfr-004603,train
sgfr-004787,train
sgfr-001179,train
sgfr-000736,train
sgfr-005427,train
sgfr-001579,train
sgfr-001882,train
sgfr-000984,train
sgfr-004969,train
sgfr-000494,train
sgfr-000569,train
sgfr-003032,train
sgfr-002498,train
sgfr-000567,train
sgfr-001279,train
sgfr-000540,train
sgfr-002661,train
sgfr-001740,train
sgfr-000796,train
sgfr-004597,train
sgfr-001709,train
sgfr-000409,train
sgfr-004436,train
sgfr-004218,train
sgfr-002708,train
sgfr-004708,train
sgfr-002739,train
sgfr-000838,train
sgfr-003627,train
sgfr-005308,train
sgfr-005119,train
sgfr-003670,train
sgfr-002694,train
sgfr-001544,train
sgfr-000945,train
sgfr-000117,train
sgfr-005251,train
sgfr-001850,train
sgfr-001766,train
sgfr-001795,train
sgfr-004418,train
sgfr-000730,train
sgfr-001298,train
sgfr-000589,train
sgfr-001089,train
sgfr-001731,train
sgfr-002417,train
sgfr-003891,train
sgfr-000980,train
sgfr-003276,train
sgfr-000035,train
sgfr-000302,train
sgfr-001881,train
sgfr-004019,train
sgfr-002077,train
sgfr-000711,train
sgfr-003227,train
sgfr-003130,train
sgfr-000738,train
sgfr-002930,train
sgfr-002731,train
sgfr-001654,train
sgfr-000766,train
sgfr-003290,train
sgfr-001937,train
sgfr-004406,train
sgfr-003519,train
sgfr-004452,train
sgfr-004091,train
sgfr-001025,train
sgfr-005373,train
sgfr-002652,train
sgfr-004786,train
sgfr-001563,train
sgfr-004486,train
sgfr-001032,train
sgfr-001040,train
sgfr-001577,train
sgfr-005409,train
sgfr-001682,train
sgfr-002806,train
sgfr-004851,train
sgfr-005258,train
sgfr-001935,train
sgfr-003831,train
sgfr-004919,train
sgfr-002852,train
sgfr-000148,train
sgfr-000120,train
sgfr-004832,train
sgfr-004190,train
sgfr-002021,train
sgfr-003506,train
sgfr-005134,train
sgfr-003289,train
sgfr-000327,train
sgfr-002445,train
sgfr-002714,train
sgfr-005159,train
sgfr-003277,train
sgfr-002390,train
sgfr-002697,train
sgfr-000191,train
sgfr-002677,train
sgfr-003804,train
sgfr-005479,train
sgfr-002244,train
sgfr-003634,train
sgfr-004302,train
sgfr-003430,train
sgfr-002486,train
sgfr-002494,train
sgfr-000197,train
sgfr-002794,train
sgfr-003985,train
sgfr-003068,train
sgfr-000957,train
sgfr-004582,train
sgfr-003954,train
sgfr-001139,train
sgfr-001564,train
sgfr-002402,train
sgfr-004911,train
sgfr-003302,train
sgfr-004687,train
sgfr-003235,train
sgfr-001980,train
sgfr-003619,train
sgfr-005465,train
sgfr-004562,train
sgfr-000268,train
sgfr-000233,train
sgfr-000482,train
sgfr-005083,train
sgfr-003618,train
sgfr-004160,train
sgfr-003947,train
sgfr-000586,train
sgfr-001556,train
sgfr-005332,train
sgfr-001851,train
sgfr-004943,train
sgfr-001666,train
sgfr-002734,train
sgfr-003072,train
sgfr-005302,train
sgfr-002778,train
sgfr-000644,train
sgfr-003170,train
sgfr-001887,train
sgfr-005516,train
sgfr-001686,train
sgfr-002938,train
sgfr-002775,train
sgfr-001909,train
sgfr-001083,train
sgfr-004049,train
sgfr-000450,train
sgfr-004139,train
sgfr-002990,train
sgfr-000440,train
sgfr-001843,train
sgfr-004684,train
sgfr-002981,train
sgfr-005432,train
sgfr-001020,train
sgfr-002897,train
sgfr-000907,train
sgfr-005297,train
sgfr-001718,train
sgfr-002872,train
sgfr-000760,train
sgfr-005040,train
sgfr-003599,train
sgfr-000909,train
sgfr-003929,train
sgfr-004254,train
sgfr-002561,train
sgfr-004044,train
sgfr-000423,train
sgfr-003326,train
sgfr-003189,train
sgfr-001715,train
sgfr-000920,train
sgfr-002967,train
sgfr-001451,train
sgfr-001169,train
sgfr-004835,train
sgfr-004136,train
sgfr-002854,train
sgfr-001397,train
sgfr-001558,train
sgfr-002855,train
sgfr-002376,train
sgfr-000437,train
sgfr-000432,train
sgfr-000671,train
sgfr-004595,train
sgfr-001695,train
sgfr-005566,train
sgfr-001827,train
sgfr-004338,train
sgfr-005071,train
sgfr-000553,train
sgfr-005371,train
sgfr-003912,train
sgfr-001439,train
sgfr-004394,train
sgfr-004423,train
sgfr-001893,train
sgfr-000856,train
sgfr-001007,train
sgfr-001895,train
sgfr-004301,train
sgfr-001354,train
sgfr-002025,train
sgfr-002922,train
sgfr-002659,train
sgfr-003759,train
sgfr-004172,train
sgfr-003800,train
sgfr-001338,train
sgfr-001313,train
sgfr-003112,train
sgfr-001751,train
sgfr-000739,train
sgfr-003533,train
sgfr-003206,train
sgfr-003052,train
sgfr-002901,train
sgfr-003837,train
sgfr-000910,train
sgfr-002053,train
sgfr-005507,train
sgfr-000929,train
sgfr-003795,train
sgfr-004567,train
sgfr-000474,train
sgfr-004127,train
sgfr-001295,train
sgfr-000664,train
sgfr-001613,train
sgfr-001009,train
sgfr-000735,train
sgfr-002461,train
sgfr-004777,train
sgfr-000749,train
sgfr-000696,train
sgfr-002550,train
sgfr-000345,train
sgfr-000925,train
sgfr-000312,train
sgfr-000263,train
sgfr-003872,train
sgfr-004157,train
sgfr-005080,train
sgfr-002117,train
sgfr-000082,train
sgfr-005277,train
sgfr-005512,train
sgfr-003853,train
sgfr-004265,train
sgfr-000455,train
sgfr-004027,train
sgfr-001669,train
sgfr-001349,train
sgfr-004892,train
sgfr-002127,train
sgfr-002940,train
sgfr-002336,train
sgfr-004035,train
sgfr-000244,train
sgfr-001172,train
sgfr-000085,train
sgfr-002355,train
sgfr-000849,train
sgfr-005084,train
sgfr-003635,train
sgfr-002654,train
sgfr-004361,train
sgfr-004598,train
sgfr-004774,train
sgfr-001568,train
sgfr-000173,train
sgfr-004573,train
sgfr-002166,train
sgfr-003187,train
sgfr-003856,train
sgfr-001900,train
sgfr-004807,train
sgfr-002165,train
sgfr-000710,train
sgfr-003815,train
sgfr-000954,train
sgfr-004798,train
sgfr-004168,train
sgfr-000065,train
sgfr-003876,train
sgfr-005070,train
sgfr-000837,train
sgfr-000064,train
sgfr-000054,train
sgfr-005087,train
sgfr-003836,train
sgfr-000486,train
sgfr-002372,train
sgfr-002235,train
sgfr-000479,train
sgfr-001584,train
sgfr-003977,train
sgfr-005122,train
sgfr-004331,train
sgfr-004551,train
sgfr-002658,train
sgfr-002181,train
sgfr-002735,train
sgfr-004665,train
sgfr-001109,train
sgfr-003867,train
sgfr-003547,train
sgfr-000004,train
sgfr-000657,train
sgfr-003356,train
sgfr-000618,train
sgfr-000508,train
sgfr-000003,train
sgfr-003739,train
sgfr-003708,train
sgfr-001450,train
sgfr-004979,train
sgfr-001374,train
sgfr-000786,train
sgfr-000119,train
sgfr-004667,train
sgfr-004324,train
sgfr-001184,train
sgfr-000106,train
sgfr-005131,train
sgfr-000869,train
sgfr-004788,train
sgfr-004570,train
sgfr-002305,train
sgfr-004327,train
sgfr-001095,train
sgfr-004333,train
sgfr-004696,train
sgfr-004031,train
sgfr-000808,train
sgfr-002830,train
sgfr-001659,train
sgfr-002346,train
sgfr-001758,train
sgfr-004494,train
sgfr-002587,train
sgfr-003251,train
sgfr-004849,train
sgfr-004310,train
sgfr-002067,train
sgfr-000679,train
sgfr-000125,train
sgfr-005271,train
sgfr-002651,train
sgfr-000314,train
sgfr-000928,train
sgfr-001141,train
sgfr-002676,train
sgfr-001074,train
sgfr-002903,train
sgfr-001189,train
sgfr-002279,train
sgfr-004142,train
sgfr-005240,train
sgfr-003917,train
sgfr-002987,train
sgfr-002499,train
sgfr-003829,train
sgfr-001852,train
sgfr-003841,train
sgfr-005426,train
sgfr-000418,train
sgfr-000353,train
sgfr-000826,train
sgfr-003493,train
sgfr-002415,train
sgfr-001160,train
sgfr-005183,train
sgfr-002240,train
sgfr-005329,train
sgfr-004056,train
sgfr-000000,train
sgfr-000547,train
sgfr-003292,train
sgfr-000989,train
sgfr-001940,train
sgfr-003874,train
sgfr-003077,train
sgfr-003749,train
sgfr-003778,train
sgfr-003269,train
sgfr-005358,train
sgfr-001588,train
sgfr-001377,train
sgfr-004565,train
sgfr-002357,train
sgfr-003764,train
sgfr-003967,train
sgfr-000266,train
sgfr-001361,train
sgfr-000793,train
sgfr-000937,train
sgfr-004951,train
sgfr-000690,train
sgfr-000879,train
sgfr-005528,train
sgfr-002846,train
sgfr-000596,train
sgfr-001178,train
sgfr-003171,train
sgfr-004905,train
sgfr-003050,train
sgfr-004457,train
sgfr-003194,train
sgfr-004731,train
sgfr-002089,train
sgfr-002817,train
sgfr-003525,train
sgfr-005295,train
sgfr-000174,train
sgfr-002098,train
sgfr-003234,train
sgfr-004855,train
sgfr-003015,train
sgfr-003045,train
sgfr-003434,train
sgfr-000199,train
sgfr-004462,train
sgfr-001846,train
sgfr-004901,train
sgfr-002692,train
sgfr-001567,train
sgfr-004291,train
sgfr-000291,train
sgfr-001332,train
sgfr-001175,train
sgfr-004712,train
sgfr-001594,train
sgfr-005139,train
sgfr-003971,train
sgfr-001760,train
sgfr-000990,train
sgfr-002727,train
sgfr-002207,train
sgfr-004513,train
sgfr-002452,train
sgfr-003185,train
sgfr-004709,train
sgfr-001417,train
sgfr-004119,train
sgfr-003274,train
sgfr-003133,train
sgfr-002047,train
sgfr-002906,train
sgfr-002530,train
sgfr-002123,train
sgfr-004208,train
sgfr-002782,train
sgfr-003363,train
sgfr-002887,train
sgfr-003702,train
sgfr-005254,train
sgfr-003418,train
sgfr-003745,train
sgfr-003003,train
sgfr-000726,train
sgfr-001948,train
sgfr-000013,train
sgfr-004431,train
sgfr-002542,train
sgfr-001528,train
sgfr-005559,train
sgfr-000761,train
sgfr-001014,train
sgfr-003357,train
sgfr-004131,train
sgfr-000426,train
sgfr-004460,train
sgfr-001724,train
sgfr-000574,train
sgfr-001021,train
sgfr-003288,train
sgfr-000374,train
sgfr-000908,train
sgfr-004820,train
sgfr-005081,train
sgfr-000595,train
sgfr-000592,train
sgfr-002448,train
sgfr-003236,train
sgfr-003789,train
sgfr-003115,train
sgfr-001886,train
